Autor;Título;Catálogo;Descripción;Instrumentación;Fecha;Letras;Comentarios;Edición;Editor;Estreno;URL
Bach, Johann Sebastian (1685–1750);Missa (Kyrie and Gloria), G;BWV Anh. 167;Mass;choir II: SATB, oboe I, oboe II, oboe III, taille, violone,;;;Zuschreibung: Christoph Bernhard, Johann Philipp Krieger oder David Pohle (siehe P. Wollny, BJ 2015, S. 132).;NBANBA, II/9, -- (Kirsten Beißwenger, 2000) – Critical report (2000), S. 57ff.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001478?lang=en
Bach, Wilhelm Friedemann (1710–1784);Missa, g;BR‑WFB E 1;Mass;S*S*, S, A, T, B, Vl, Va, Bc,;;dt. Übersetzung des Ordinarium Missae, Fassung Gesangbuch Halle 1744, S. 3, leicht gekürzt;Entstehung vermutlich zu Beginn der Hallenser Zeit, wohl als Repertoirestück für hohe Festtage bestimmt.;NBANBA, II/9, -- (Kirsten Beißwenger, 2000) – Critical report (2000), S. 61;Ulrike Wolf;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001479?lang=en
Bach, Johann Sebastian ? (1685–1750);Erbauliche Gedanken auf den Grünen Donnerstag und Charfreitag über den Leidenden Jesum;BWV Anh. 169;Passion (Good Friday);unknown;;;;;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001480?lang=en
Rosenmüller, Johann (1619–1684);Welt ade, ich bin dein müde;BWV Anh. 170 (= 27/6);Chorale;S I, S II, A, T, B;;;NBA III/2.2, S. 86f. (Frieder Rempp, 1996) – Kritischer Bericht (1996), S. 15ff., 223f.;NBANBA, I/23, S. 251 (Hellmuth Osthoff, 1982) – Critical report (1984), S. 109;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001481?lang=en
Pachelbel, Johann (1653–1706);Christ lag in Todesbanden;BWV Anh. 171;Chorale setting;Organ;;;"J. Pachelbel zugewiesen, s. Emans, Nr. 41; M. Seiffert (Hrg.), Orgelkompositionen von J. Pachelbel, DTB, 4. Jg., 1. Bd., S. 76.";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 328;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001482?lang=en
Krebs, Johann Ludwig (1713–1780);Herr Jesu Christ, dich zu uns wend;BWV Anh. 172;Chorale setting;Organ;;;G. Weinberger (Hrg.), J. L. Krebs, Sämtliche Orgelwerke, Bd. III, Wiesbaden 1986, S. 36 (Neuedition);NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 401;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001483?lang=en
Bonporti, Francesco Antonio (1672–1749);Inventio, b;BWV Anh. 173;Chamber music;violin, keyboard;;;"Francesco Antonio Bonporti zugewiesen. Lit.: BJ 1911, S. 37 ff.; BJ 1928, S. 105.";NBANBA, VI/5, -- (Klaus Hofmann, 2006) – Critical report (2006), S. 96;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001484?lang=en
Bonporti, Francesco Antonio (1672–1749);Inventio, B flat;BWV Anh. 174;Chamber music;violin, keyboard;;;"Francesco Antonio Bonporti zugewiesen. Lit.: BJ 1911, S. 37 ff.; BJ 1928, S. 105.";NBANBA, VI/5, -- (Klaus Hofmann, 2006) – Critical report (2006), S. 96;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001485?lang=en
Bonporti, Francesco Antonio (1672–1749);Inventio, c;BWV Anh. 175;Chamber music;violin, keyboard;;;Francesco Antonio Bonporti zugewiesen. Lit.: BJ 1911, S. 37 ff.;NBANBA, VI/5, -- (Klaus Hofmann, 2006) – Critical report (2006), S. 96;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001486?lang=en
Bonporti, Francesco Antonio (1672–1749);Inventio, D;BWV Anh. 176;Chamber music;violin, keyboard;;;"Francesco Antonio Bonporti zugewiesen. Lit.: BJ 1911, S. 37 ff.; BJ 1928, S. 105.";NBANBA, VI/5, -- (Klaus Hofmann, 2006) – Critical report (2006), S. 96;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001487?lang=en
Bach, Johann Christoph (1642–1703);Prelude and fugue, Eb;BWV Anh. 177;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;"Echtheit angezweifelt; z. T. J. C. Bach zugewiesen; Lit.: Geiringer: Die Musikerfamilie Bach, 1958, S. 68; BJ 1907, S. 159";NBANBA, V/12, S. 134 (Ulrich Bartels und Frieder Rempp, 2006) – Critical report (2006), S. 142;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001488?lang=en
Rossi, Michelangelo (1601/02–1653);Toccata quasi Fantasia con Fuge, A;BWV Anh. 178;Music for organ;organ;;;"Lit.: G. Rose, in: AMl 40 (1968), S. 203ff.; R. Buchmayer, in: SIMG 2 (1900/01), S. 253-278; G. Cox: ""Organ Music in Restoration England"", Vol. I, New York & London 1989, S. 118; P. Dirksen, in: BJ 1998, S. 121-135";NBANBA, V/12, -- (Ulrich Bartels und Frieder Rempp, 2006) – Critical report (2006), S. 272ff.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001489?lang=en
Heinichen, Johann David (1683–1729);Fantasia durch alle Tonarten gehend;BWV Anh. 179;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;Die Fantasia stammt von J. David Heinichen.;NBANBA, V/12 (Ulrich Bartels und Frieder Rempp) – Critical report (2006), S. 186;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001490?lang=en
Kellner, Johann Peter (1705–1772);Fugue, d;BWV Anh. 180;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;"das Thema ist nahezu identisch mit der 81taktigen Doppelfuge von J. P. Kellner (Fechner 6.3; zeitweilig ""BWV Anh. 180 Variante"" bezeichnet), die in D-B Mus. ms. 11544 (Faszikel 9), D-LEm Ms. 4 (Faszikel 9) und B-Bc 25752 MSM überliefert ist.";NBANBA, V/12, -- (Ulrich Bartels und Frieder Rempp, 2006) – Critical report (2006), S. 282ff.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001491?lang=en
Krebs, Johann Ludwig (1713–1780);Fugue, a;BWV Anh. 181;Work for keyboard instruments with or without pedal keyboard;organ or keyboard;;;;NBANBA, V/12, -- (Ulrich Bartels und Frieder Rempp, 2006) – Critical report (2006), S. 187;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001492?lang=en
Witt, Christian Friedrich (um 1660–1716);Passacaglia, d;BWV Anh. 182;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;;NBANBA, V/12, -- (Ulrich Bartels und Frieder Rempp, 2006) – Critical report (2006), S. 189;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001493?lang=en
Couperin, François (1668–1733);"Rondo, Bb (""2. Notenbuch der A. M. Bach, 1725"")";BWV Anh. 183;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;"Das Stueck stammt von Francois Couperin (s. Druck, ""Pièces de Clavecin"", Paris 1717; 2. Teil, Sixième ordre, darin das vorliegende Stuck: ""Les Bergeries, Rondeau"").";NBANBA, V/4, S. 85 (Georg von Dadelsen, 1957) – Critical report (1957), S. 81;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001494?lang=en
Zuccari, Carlo (1704–1792);Sonata, a;BWV Anh. 184;Chamber music;violin, basso continuo;;;"C. Zuccari zugewiesen (s. Op. 1, ""Sonate a Violino, e Basso o' Cembalo, die Carlo Zucchari ..."", Mailand, ca. 1747, Teil 1, Nr. 10)";NBANBA, VI/5, -- (Klaus Hofmann, 2006) – Critical report (2006), S. 96;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001495?lang=en
Bach, Carl Philipp Emanuel (1714–1788);Sonate D-Dur;H 585;Chamber music;violin I, violin II, basso continuo;;;der Schlusssatz stimmt mit C. P. E. Bachs Menuett La Louise (Wq 117.36 / H 114) überein;CPEB:CWCPEB:CW, II/2.2, S. 70 (Christoph Wolff, 2011) – Critical report (2011), S. 149;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001496?lang=en
Bach, Carl Philipp Emanuel (1714–1788);Sonata, F;Wq 154;Chamber music;violin I, violin II, basso continuo;;;;CPEB:CWCPEB:CW, II/2.2, S. 1 (Christoph Wolff, 2011) – Critical report (2011), S. 149;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001497?lang=en
Bach, Carl Philipp Emanuel (1714–1788);Sonata, Bb;Wq 159;Chamber music;violin I, violin II, basso continuo;;;;CPEB:CWCPEB:CW, II/2.2, S. 93 (Christoph Wolff, 2011) – Critical report (2011), S. 149;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001498?lang=en
Bach, Wilhelm Friedemann (1710–1784);Concerto, F (for 2 harpsichords);BR‑WFB A 12;Work for keyboard instruments with or without pedal keyboard;harpsichord I, harpsichord II;;;"EZ EZ um 1740; W. F. Bach zugewiesen, Fk, Nr. 10; Lit.: K. Geiringer, in MQ 36 (1959), S. 368f.; P. Wollny , Studies in the Music of Wilhelm Friedemann Bach: Sources and Style (Diss. masch. Harvard Univ. Cambridge/Mass. 1993) [dort auch eine Quellenliste S. 426f.]";WFB:GWWFB:GW, 1, S. 143 (Peter Wollny, 2009) – Critical report (2009), S. 163;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001499?lang=en
Bach, Carl Philipp Emanuel (1714–1788);Concerto, a;Wq 1;Concerto for solo instrument(s) and accompaniment;harpsichord, violin I, violin II, viola, basso continuo;;;"EZ EZ 1733 (Frühfassung) / 1744 (Spätfassung); C. P. E. Bach zugewiesen, s. Helm, Nr. 403; Lit.: H.-J. Marx, in: Mf 41, 1988, S. 150ff.; Wade";CPEB:CWCPEB:CW, III/9.1, S. 1 (Peter Wollny, 2010) – Critical report (2010), S. 160;UW;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001500?lang=en
Bach, Johann Sebastian ? (1685–1750);Ich bin ein Pilgrim auf der Welt;BWV Anh. 190 / Anh. I 2‑>;Sacred cantata (2nd Easter Day);unknown;;Link to lyrics;"Lost apart from 5 bars of the aria for bass and basso contino (no. 4); libretto by C. F. Henrici (called ""Picander""); composer not sure; Lit.: P. Wollny, in: BJ 2010, S. 134-137, A. Dürr, in: Mf 11 (1958), p. 422ff.";NBANBA, I/33, -- (Frederick Hudson, 1958) – Critical report (1958), S. 58;Übernahme von www.bach.gwdg.de;18 April 172918 April 1729;https://www.bach-digital.de/receive/BachDigitalWork_work_00001501?lang=en
Bach, Johann Sebastian (1685–1750);Leb ich, oder leb ich nicht;BWV Anh. 191 / Anh. I 2‑>;Sacred cantata (5th Sunday of Easter);unknown;;;"Libretto by S. Franck, in: ""Evangelisches Andachtsopffer..."", Weimar 1715; the music is lost; Lit.: Dürr St 2, S. 244f. (printed libretto)";;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001502?lang=en
Bach, Johann Sebastian (1685–1750);Zweite Mühlhäuser Ratswahlkantate;BWV Anh. 192 / Anh. I 4‑>;Sacred cantata (Council election);unknown;;unknown;"Libretto and music are lost; Lit.: ""E. Brinkmann: Neues über J. S. Bach in Mühlhausen"", in: Mühlhäuser Geschichtsblätter Jg. 31, Mühlhausen 1932, p. 294ff.";NBANBA, I/32.1, -- (Christine Fröde, 1992) – Critical report (1992), S. 85;Übernahme von www.bach.gwdg.de;4 February 17094 February 1709, 10 February 1709, Mühlhausen, Marienkirche (Premiere);https://www.bach-digital.de/receive/BachDigitalWork_work_00001503?lang=en
Bach, Johann Sebastian (1685–1750);Herrscher des Himmels, König der Ehren;BWV Anh. 193 / Anh. I 4‑>;Sacred cantata (Council election);unknown;;Link to lyrics;"The music is lost; the libretto was printed in: ""Nützliche Nachrichten Von Denen Bemühen derer Gelehrten und andern Begebenheiten in Leipzig"", Leipzig 1740; Bach reused the final chorale in cantata BWV 208; Lit.: W. Neumann, in: BJ 1961, p. 52ff.";NBANBA, I/32.2, -- (Christine Fröde, 1994) – Critical report (1994), S. 69;Übernahme von www.bach.gwdg.de;29 August 174029 August 1740;https://www.bach-digital.de/receive/BachDigitalWork_work_00001504?lang=en
Bach, Johann Sebastian (1685–1750);Birthday cantata;BWV Anh. 194 / Anh. I 7‑>;Cantata (Birthday);unknown;;Link to lyrics;"EZ EZ 1722; music is lost; Lit.: H. Wäschke: Die Zerbster Hofkapelle unter Fasch, in: Zerbster Jb. II (1906), p. 47ff.; H. Wäschke, in: SIMG 10 (1908/09), p. 633f.";;C. Pfau;9 August 17229 August 1722;https://www.bach-digital.de/receive/BachDigitalWork_work_00001505?lang=en
Bach, Johann Sebastian (1685–1750);Murmelt nur, ihr heitern Bäche;BWV Anh. 195;Secular cantata (College Celebration Feast);unknown;;Link to lyrics;The music is lost.;;Übernahme von www.bach.gwdg.de;9 June 17239 June 1723;https://www.bach-digital.de/receive/BachDigitalWork_work_00001506?lang=en
Bach, Johann Sebastian (1685–1750);Auf, süß-entzückende Gewalt;BWV Anh. 196 / Anh. I 14;Secular cantata (Wedding);unknown;;Link to lyrics;"The music is lost; probably there are connections to BWV 11/4 (""Ach bleibe doch, mein liebstes Leben"") and BWV 11/8 (""Jesu, deine Gnadenblicke"").";NBANBA, I/40, -- (Werner Neumann, 1970) – Critical report (1970), S. 22;Übernahme von www.bach.gwdg.de;27 November 172527 November 1725;https://www.bach-digital.de/receive/BachDigitalWork_work_00001507?lang=en
Bach, Johann Sebastian (1685–1750);Ihr wallenden Wolken;BWV Anh. 197 / Anh. I 19‑>;Cantata (unknown purpose);unknown;;;Lit.: W. Neumann, KB I/4, p. 118;;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001508?lang=en
Bach, Johann Sebastian (1685–1750);"""Concerto"" (beginning of a cantata, D)";BWV Anh. 198 = BWV 149/1a [BWV 1998];Sacred cantata (Michaelmas [29 September]);B solo, S, A, T, B, trumpet I, trumpet II, trumpet III, timpani, oboe I, oboe II, violin I, violin II, viola, basso continuo;;;"the first word of the beginning was ""Man"" (compare BWV 149 ""Man singet mit Freunden vom Sieg""); because of that M. Helms assumed that this dismissed movement was planned as a new movement for BWV 149; the reason why it was not finished is unknwon, instead of this movement Bach used the final choir of BWV 208 (""Jagdkantate"") as first movement of BWV 149; Lit.: Spitta II, p. 277.";"NBANBA, I/40 und I/30, -- (Werner Neumann (I/40); Marianne Helms (I/30), I/40: 1969; I/30: 1973) – Critical report (I/40: 1970; I/30: 1974), I/40, S. 98; I/30, S. 112";Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001509?lang=en
Bach, Johann Sebastian (1685–1750);Siehe eine Jungfrau ist schwanger;BWV Anh. 199 / Anh. I 19‑>;Sacred cantata (Annunciation Day [25 March]);unknown;;Link to lyrics;"The music is lost; the libretto was printed in Leipzig: ""Texte / Zur Leipziger / Kirchen-Music, / Auf den andern, dritten, vierdten Sonntage / nach der Erscheinung Christi, / Das Fest Mariä Reinigung, / Und die Sonntage / Septuagesimae, Sexagesimae, / Esto mihi, / Ingleichen / Auf das Fest / der Verkündigung Mariä, / 1724. / Leipzig / Gedruckt bey Immanuel Tietzen""; just one copy left in RUS-SPsc Sign. 6. 35. I. 849; Lit.: W. Hobohm, in: BJ 1972, p. 5ff. (particularly S. 16f.)";;Übernahme von www.bach.gwdg.de;25 March 172425 March 1724;https://www.bach-digital.de/receive/BachDigitalWork_work_00001510?lang=en
Bach, Johann Sebastian (1685–1750);O Traurigkeit, o Herzeleid (fragment, Orgelbüchlein);BWV Anh. 200 / Anh. I 21‑>;Chorale setting;Organ;;;Fragment of 2 bars;NBANBA, IV/1, S. 46 (Heinz-Harald Löhlein, 1983) – Critical report (1987), S. 17-124 (S. 115);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001511?lang=en
Vetter, Daniel (1657–1721);Du Friedefürst, Herr Jesu Christ;BWV Anh. 201 / Anh. II 31‑>;Chorale;SS, A, T, B,;;;"der Komponist der Sätze ist D. Vetter (Nr. 35 in dessen ""Musicalischer Kirch- und Hauß-Ergötzlichkeit, anderer Theil"", Leipzig 1713).";NBANBA, III/3, -- (Frieder Rempp, 2002) – Critical report (2002), S. 113;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001512?lang=en
Vetter, Daniel (1657–1721);Gott hat das Evangelium;BWV Anh. 202 / Anh. II 31‑>;Chorale;SS, A, T, B,;;;"der Komponist der Sätze ist D. Vetter (Nr. 29 in dessen ""Musicalischer Kirch- und Hauß-Ergötzlichkeit, anderer Theil"", Leipzig 1713).";NBANBA, III/3, -- (Frieder Rempp, 2002) – Critical report (2002), S. 113;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001513?lang=en
Vetter, Daniel (1657–1721);Ich hebe meine Augen auf;BWV Anh. 203 / Anh. II 31‑>;Chorale;SS, A, T, B,;;;"der Komponist der Sätze ist D. Vetter (Nr. 20 in dessen ""Musicalischer Kirch- und Hauß-Ergötzlichkeit, anderer Theil"", Leipzig 1713).";NBANBA, III/3, -- (Frieder Rempp, 2002) – Critical report (2002), S. 113;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001514?lang=en
Vetter, Daniel (1657–1721);O Traurigkeit, o Herzeleid;BWV Anh. 204 / Anh. II 31‑>;Chorale;SS, A, T, B,;;;"der Komponist der Sätze ist D. Vetter (Nr. 5 in dessen ""Musicalischer Kirch- und Hauß-Ergötzlichkeit, anderer Theil"", Leipzig 1713).";NBANBA, III/3, -- (Frieder Rempp, 2002) – Critical report (2002), S. 113;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001515?lang=en
Bach, Johann Sebastian (1685–1750);Fantasia, c;BWV 1121 [BWV 1998];Music for organ;Organ;;;"Copy in the ""Andreas-Bach-Buch"" without attribution to an author by J. S. Bach, written in tablature; Lit.: D. Kilian, in: FS Dürr, p. 161ff.; Schulze St, p. 49f.; first edition: M. Seiffert, in: Organum IV/10, Leipzig 1925, p. 20";NBANBA, IV/11, S. 54 (Ulrich Bartels, 2003) – Critical report (2004), S. 89;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001516?lang=en
Pachelbel, Johann (1653–1706);Ach bleib mit deiner Gnade / Christus, der ist mein Leben;BWV Anh. 206 / Anh. II 79‑>;Chorale setting;Organ;;;"unter Bachs Namen überliefert in: ""Neues deutsches Orgelmagazin..."", Magdeburg (Heinrichshofen), o. J. [2. Hälfte. d. 19. Jhs.] Bd. I, Lieferung II, S. 11, Nr. 8";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 276;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001517?lang=en
Seger, Josef Ferdinand Norbert (1716–1782);Fugue, e;BWV Anh. 207 / Anh. II 102‑>;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;"Die Fuge stammt höchst wahrscheinlich von J. F. N. Seger; Lit.: G. Feder, in: Mf XI (1958), S. 77; ein früher, die Fuge Seger zuschreibender Druck (""Museum für Orgel-Spieler (...)"", Prag, Marco Berra, um 1830) bestätigt dies.";NBANBA, IV/11, -- (Ulrich Bartels, 2003) – Critical report (2004), S. 124;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001518?lang=en
Eberlin, Johann Ernst (1702–1762);Fugue, eb (or e);BWV Anh. 208 / Anh. III 181‑>;Work for keyboard instruments with or without pedal keyboard;Keyboard;;;"J. E. Eberlin zugewiesen, s. Eberlin-Druck ""IX Toccate e fughe per l'organo"", Augsburg (Lotter) 1747; die voliegende Fuge (in e-Moll [CuvE 51]) gehört zur Toccata nona. Von F. C. Griepenkerl wurde die Fuge (in es-Moll) in den 1843 erschienenen Band der ""Oeuvres complettes Liv. 9: Compositions pour le Piano-Forte"" aufgenommen; die Quelle, in der die Fuge J. S. Bach zugeschrieben gewesen sein soll, soll J. N. Forkel gehört haben und fehlerhaft gewesen sein).";NBANBA, IV/11, -- (Ulrich Bartels, 2003) – Critical report (2004), S. 114;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001519?lang=en
Bach, Johann Sebastian (1685–1750);Liebster Gott, vergisst du mich;BWV Anh. I 209 [BWV 1998];Sacred cantata (7th Sunday after Trinity);unknown;Lyrics;Link to lyrics;"Date of origin and date of first performance of this cantata are unknown; probably the cantata was written by J. S. Bach; the libretto was printed by G. C. Lehms in 1711. By that it is proved that the cantata was performed as the 2nd part of a lost funeral cantata for J. Christoph Ponickau an Feb. 6th 1727. Later it was reused in BWV 157; Lit.: K. Hofmann, in: BJ 1982, S. 51ff.; BWV 1998, p. 456";;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001520?lang=en
Bach, Johann Sebastian (1685–1750);Wo sind meine Wunderwerke;BWV Anh. I 210 [BWV 1998];Cantata (unknown purpose);unknown;;unknown;"Probably by Bach; the music is lost; presumably the 1st movement was the model for an aria in BWV 193 (BWV 193a/7 or BWV 193/3); just one copy of the printed libretto left: D Gs 2° Pot. Germ. I, 6425; Lit.: K. Hofmann, in: BJ 1988, p. 211-218; C. Fröde, in: BJ 1991, p. 184f.";;Übernahme von www.bach.gwdg.de;4 October 17344 October 1734;https://www.bach-digital.de/receive/BachDigitalWork_work_00001521?lang=en
Bach, Johann Sebastian (1685–1750);Der Herr ist freundlich dem, der auf ihn harret;BWV Anh. I 211 [BWV 1998];Sacred cantata (Wedding);unknown;;C. F. Henrici alias Picander (1732);"The music is lost; one copy of the printed libretto left: Schaumburg-Lippische Hofbibliothek Bückeburg, V 100, Nr. 31; Lit.: H. Tiggemann, in: BJ 1994, p. 7-22";;Übernahme von www.bach.gwdg.de;18 January 172918 January 1729;https://www.bach-digital.de/receive/BachDigitalWork_work_00001522?lang=en
Bach, Johann Sebastian (1685–1750);Vergnügende Flammen, verdoppelt die Macht;BWV Anh. I 212 [BWV 1998];Sacred cantata (Wedding);unknown;;C. F. Henrici alias Picander (1732);"EZ EZ 1729?; The music is lost; one copy of the printed libretto left: Schaumburg-Lippische Hofbibliothek Bückeburg, Cb 76 II, Nr. 214; Lit.: H. Tiggemann, in: BJ 1994, p. 7-22";;Übernahme von www.bach.gwdg.de;26 July 172926 July 1729;https://www.bach-digital.de/receive/BachDigitalWork_work_00001523?lang=en
Bach, Johann Sebastian (1685–1750);Concerto, F;BWV Anh. I 213 [BWV 1998];Music for organ;Organ;;;"The music is lost; arrangement of a likewise lost concert (setting unknown) by G. P. Telemann; Lit.: Beisswenger 1992, p. 378f.";;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001524?lang=en
Bach, Johann Sebastian ? (1685–1750);Ach, was treibet Jesum an (aria);BWV deest;Lied (Good Friday);"S*S*, Vl, Va, Bc; 2 ";;;Notenincipit in: Kataloge bayrischer Musiksammlungen 17, S. 9 (Arie II);;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001525?lang=en
Bach, Johann Sebastian ? (1685–1750);Die schwarze Nacht (aria);BWV deest;Lied (Good Friday);"B*B*, Vl, Va, Bc; 2 ";;;Notenincipit in: Kataloge bayrischer Musiksammlungen 17, S. 9 (Arie 3);;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001526?lang=en
Bach, Johann Sebastian ? (1685–1750);Es wollte Jesus sterben (Arie);BWV deest;Lied (Good Friday);"S*S*, Cr, Vl, Va, Bc; 2 ";;;Notenincipit in: Kataloge bayrischer Musiksammlungen 17, S. 9 (Arie 4);;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001527?lang=en
Bach, Johann Sebastian ? (1685–1750);Mein Herz, erkenne doch einmal (Arie);BWV deest;Lied (Good Friday);"S*S*, Cr, Vl conc, Vl, Vc conc, Bc; 2 ";;;Notenincipit in: Kataloge bayrischer Musiksammlungen 17, S. 9 (Arie 5);;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001528?lang=en
Bach, Johann Sebastian (1685–1750);"""Concerto"" (beginning of a cantata, e)";BWV deest;Sacred cantata (2nd Sunday of Easter);preserved: oboe I, oboe II, violin I, violin II, viola, basso continuo;;;"EZ EZ 1725; Fragment of 7 bars; probably written close to BWV 103 (D B Mus. ms. Bach P 122 consists of the manuscpript of BWV 103 and the fragment). Presumably the fragment was never completed, instead maybe BWV 42 was composed for the sunday Quasimodogeniti.";NBANBA, I/11.1 und I/11.2 (Reinmar Emans) – Critical report (1989), I/11.1 S. 56 (auch Noten) und I/11.2, S. 31;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001529?lang=en
Bach, Johann Sebastian (1685–1750);Sie werden euch in den Bann tun;BWV deest;Sacred cantata (7th Sunday of Easter);perhaps: B, oboe d'amore I, oboe d'amore II, oboe da caccia I, oboe da caccia II, basso continuo;;unknown;"EZ EZ 1725; sketch (bar 1-6) in D B Mus. ms. Bach P 89 (f. 10v); title written by J. S. Bach: ""J.J. Do[mi]ica Exaudi. Sie werden euch in den Bann thun""; possibly this cantata was given up in favour of a cantata with the same title BWV 83; Lit.: Marshall CP II, no. 116.";NBANBA, I/31, -- (Frieder Rempp, 1987) – Critical report (1988), S. 15f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001530?lang=en
Bach, Johann Sebastian (1685–1750);Was ist, das wir Leben nennen;BWV deest;Sacred cantata (Funeral);unknown;;Link to lyrics;The music is lost.;;Übernahme von www.bach.gwdg.de;2 April 17162 April 1716;https://www.bach-digital.de/receive/BachDigitalWork_work_00001531?lang=en
Bach, Johann Sebastian (1685–1750);Der Gerechte kömmt um;BWV deest (BC C 8);Motet (Good Friday);S I, S II, A, T, B, traverse flute I, traverse flute II, oboe I, oboe II, violin I, violin II, viola, basso continuo;;;"The main part of the pasticcio ""Wer ist der, so von Edom kömmt"" (BWV deest (BC D 10) is based on the cantata ""Ein Lämmlein geht und trägt die Schuld"" by C. H. Graun (GraunWV B:VII:4). The motet-arrangement is no. 39 of the pasticcio;";NBANBA, I/41, S. 127 (Andreas Glöckner, 2000) – Critical report (2000), S. 56;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00001532?lang=en
